st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,st22,st23,st24,st25,st26,st27,st28,st29,st30,st31,st32,st33,st34,st35,st36,st37,st38,st39,st40,st41,st42,st43,st44,st45,cpu-cycles,instructions,bus-cycles,cache-references,cache-misses,branch-instructions,branch-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-icache-loads,L1-icache-load-missesd,TLB-load-misses,iTLB-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,Label
82,57,20,0,57,20,0,54,1,1,18,0,77,5,0,82,1,67,20,106,22,73,55,1,0,0,82,0,0,0,0,0,245,28,0,0,20,0,21970,0,36,0,44,48,9,1.056836,1,0.211375,0.344078,0.001416,0.197489,0.006796,0.212274,0.001245,0.132536,0.000004,0.339829,0.010903,0.003875,0.00419,0.013839,0.000002,0.001513,0,O3
78,38,20,1,42,15,3,32,5,2,7,0,64,14,0,78,11,27,20,113,109,1,32,1,1,2,74,4,0,0,1,1,347,55,0,0,69,0,22042,3,21,0,78,73,43,0.59458,1,0.178404,0.500512,0,0.100652,0.001865,0.279294,0,0.22074,0,0.220217,0,0,0,0,0,0,0,O3
19,10,5,0,10,5,0,7,1,1,3,0,16,3,0,19,1,8,5,29,18,0,34,2,0,0,19,0,0,0,0,0,62,5,0,0,11,0,21893,1,5,0,19,19,10,4.370262,1,0.874053,0.453561,0.000017,0.162851,0.000018,0.25589,0.000025,0.19767,0.000001,0.221269,0.000015,0.000021,0.000007,0.000081,0.000002,0.000041,0,O2
64,43,17,0,44,15,1,38,3,2,13,0,55,9,0,64,3,20,17,66,21,14,58,1,0,2,41,23,0,0,1,0,256,52,0,0,18,0,21955,4,7,0,49,48,0,3.642325,1,0.728465,0.516486,0.068139,0.069447,0.000025,0.378758,0.06798,0.137759,0.000165,0.012556,0,0.05363,0.000001,0.143934,0.004918,0.068136,0.000032,O3
53,35,14,0,36,12,1,31,2,1,11,0,45,8,0,53,3,16,14,52,14,9,58,2,0,0,53,0,0,0,0,0,179,32,0,0,12,0,0,3,7,0,40,39,0,3.679728,1,0.735946,0.517946,0.068579,0.069115,0.000025,0.379716,0.068416,0.138247,0.000164,0.009108,0.000001,0.053979,0.000001,0.145213,0.004919,0.06858,0.000033,O2
49,32,13,0,33,11,1,28,2,1,10,0,42,7,0,49,3,16,13,55,21,14,60,2,0,0,49,0,0,0,0,0,205,36,0,0,15,0,21927,3,7,0,50,46,0,0.537784,1,0.428224,0.350786,0.151463,0.150944,0.000153,1.576151,0.151372,0.37638,0.000052,0.986747,0.000002,0.088479,0.000002,0.433829,0.019456,0.151398,0.000039,O2
49,32,13,0,33,11,1,28,2,1,10,0,43,6,0,49,3,16,13,51,22,10,58,2,0,0,49,0,0,0,0,0,178,28,0,0,14,0,21923,3,7,0,47,44,0,0.958627,1,0.4645,0.731897,0.077021,0.086678,0.001042,0.577005,0.076854,0.154886,0.000042,0.441428,0.000001,0.076157,0.000001,0.219109,0.009778,0.076849,0.000019,O2
41,26,11,0,27,9,1,22,2,1,8,0,34,7,0,41,3,14,11,42,17,5,60,2,0,0,41,0,0,0,0,0,148,24,0,0,10,0,22065,2,7,0,38,37,0,4.607675,1,0.921527,0.482854,0.056719,0.065943,0.000066,0.353774,0.055966,0.129025,0.000012,0.014698,0.000002,0.063694,0.000001,0.169392,0.004026,0.055771,0.000009,O3
73,50,19,0,51,17,1,46,2,1,16,0,63,10,0,73,3,20,19,78,32,10,60,1,0,0,73,0,0,0,0,0,243,37,0,0,22,0,21978,5,7,0,67,64,0,2.757799,1,0.601829,0.539801,0.035269,0.068986,0.00037,0.240271,0.035403,0.131189,0.000012,0.22121,0.000001,0.03242,0.000001,0.095247,0.004265,0.035394,0.000009,Ofast
85,59,22,0,60,20,1,55,2,1,19,0,74,11,0,85,3,24,22,87,40,10,60,1,0,0,85,0,0,0,0,0,279,47,0,0,30,0,22097,7,7,0,76,67,0,3.090784,1,0.618015,0.50135,0.034446,0.064756,0.000245,0.376055,0.03451,0.12529,0.00003,0.260499,0.000001,0.030972,0.000001,0.094579,0.004015,0.034064,0.000008,Ofast
73,50,19,0,51,17,1,46,2,1,16,0,65,8,0,73,3,15,19,54,22,9,58,1,0,0,73,0,0,0,0,0,214,44,0,0,19,0,21939,2,7,1,41,39,0,2.428035,1,0.541502,0.55636,0.039889,0.084622,0.000028,0.423261,0.039778,0.170902,0.000088,0.126215,0.000001,0.034657,0,0.114831,0.00547,0.039868,0.000005,O3
67,45,18,0,46,16,1,40,3,2,14,0,59,8,0,67,4,21,18,61,23,10,111,2,0,0,67,0,0,0,0,0,232,48,0,0,17,0,21971,3,11,0,48,46,0,4.935398,1,0.986958,0.52993,0.06525,0.067856,0.000175,0.39868,0.063428,0.130876,0.000162,0.083815,0.000001,0.050723,0.000001,0.097058,0.002191,0.06342,0.000014,O3
77,53,20,0,54,18,1,49,2,1,17,0,70,7,0,77,3,14,20,55,23,9,58,1,0,0,77,0,0,0,0,0,207,40,0,0,20,0,22034,2,7,1,42,40,0,0.783719,1,0.633315,0.628831,0.054119,0.110881,0.000041,0.501479,0.054105,0.227165,0.000035,0.312755,0.000001,0.0492,0.000001,0.153454,0.006799,0.054152,0.000006,O3
93,65,24,0,66,22,1,61,2,1,21,0,80,13,0,93,3,20,24,85,28,17,39,1,0,0,93,0,0,0,0,0,307,62,0,0,27,0,21896,5,7,1,59,56,0,2.478555,1,0.580084,0.628695,0.054861,0.113056,0.000043,0.603381,0.054766,0.230608,0.000119,0.35118,0,0.049807,0.000001,0.156241,0.006755,0.054884,0.000006,Ofast
44,26,14,0,28,10,2,19,6,3,7,0,40,4,0,44,7,12,14,28,21,0,58,2,0,2,37,7,0,0,1,0,125,24,0,0,13,0,22063,1,7,0,31,26,0,0.747018,1,0.175828,0.543303,0.002937,0.164108,0.003398,0.160419,0.00292,0.177226,0.000001,0.110672,0.000001,0.000041,0,0.005767,0.002531,0.002933,0.000001,O1
66,41,21,0,43,17,2,30,10,7,10,0,58,8,0,66,7,14,21,39,40,0,60,1,0,2,36,16,14,0,5,0,277,69,0,0,34,0,21900,2,7,0,56,53,0,1.685021,1,0.336999,0.520283,0.018573,0.080101,0.000036,0.360193,0.018486,0.160091,0.000058,0.26108,0.000001,0.019867,0,0.055477,0.001167,0.018537,0.000002,O2
53,35,14,0,36,12,1,31,2,1,11,0,44,9,0,53,3,18,14,69,36,54,58,2,0,0,53,0,0,0,0,0,335,79,0,0,32,0,0,4,7,0,71,66,0,1.603908,1,0.320781,0.450787,0.018304,0.041946,0.000021,0.356424,0.009585,0.094333,0.008577,0.1807,0.000001,0.005281,0,0.043816,0.001488,0.018135,0.00403,Ofast
61,41,16,0,42,14,1,37,2,1,13,0,57,4,0,61,3,13,16,46,40,32,79,2,0,0,61,0,0,0,0,0,295,81,0,0,32,0,21942,2,7,0,58,57,0,1.354188,1,0.270838,0.353815,0.010004,0.039784,0.000167,0.29479,0.007527,0.059025,0.00249,0.259546,0.000001,0.000119,0,0.016071,0.003449,0.010016,0.00249,O3
45,29,12,0,30,10,1,25,2,1,9,0,41,4,0,45,3,14,12,38,26,16,58,2,0,0,45,0,0,0,0,0,175,36,0,0,24,0,0,2,7,0,47,44,0,0.696178,1,0.336365,0.658278,0.018812,0.077532,0.00003,0.503365,0.013697,0.154916,0.004854,0.388048,0.000001,0.000079,0,0.028989,0.004974,0.018638,0.004848,Ofast
